"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SPICEPREFIX";
"ACK";"";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";"";"";"";"";"";"";"";"28";"";"";"";
"C1";"1μ";"C-EUC1608";"C1608";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"3";"";"";"C";
"C2";"4.7μ";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C3";"0.1μ";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C4";"0.1μ";"C-EUC1608";"C1608";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"3";"";"";"C";
"C5";"0.1μ";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C6";"0.1μ";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C7";"0.1μ";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"73";"";"";"C";
"ENCODER1";"S4B-XH-A_LF__SN_";"S4B-XH-A_LF__SN_";"SHDRRA4W64P0X250_1X4_1240X1150";"XH-2.5mm Header side entry 4 way JST XH Series, Series Number S4B, 2.5mm Pitch 4 Way 1 Row Right Angle PCB Header, Solder Termination, 3A";"XH-2.5mm Header side entry 4 way JST XH Series, Series Number S4B, 2.5mm Pitch 4 Way 1 Row Right Angle PCB Header, Solder Termination, 3A";"7mm";"JST (JAPAN SOLDERLESS TERMINALS)";"S4B-XH-A(LF)(SN)";"";"";"";"";"";"8201589P";"http://uk.rs-online.com/web/p/products/8201589P";"";
"ENCODER2";"S4B-XH-A_LF__SN_";"S4B-XH-A_LF__SN_";"SHDRRA4W64P0X250_1X4_1240X1150";"XH-2.5mm Header side entry 4 way JST XH Series, Series Number S4B, 2.5mm Pitch 4 Way 1 Row Right Angle PCB Header, Solder Termination, 3A";"XH-2.5mm Header side entry 4 way JST XH Series, Series Number S4B, 2.5mm Pitch 4 Way 1 Row Right Angle PCB Header, Solder Termination, 3A";"7mm";"JST (JAPAN SOLDERLESS TERMINALS)";"S4B-XH-A(LF)(SN)";"";"";"";"";"";"8201589P";"http://uk.rs-online.com/web/p/products/8201589P";"";
